Name,Project Name,Role,Program Type,Skills: Narrative Development & Screenwriting,Skills: Performance & Direction of Talent,Skills: Directing & Creative Leadership,Skills: Cinematography & Visual Storytelling,Skills: Post-Production & Editing,"Skills: Marketing, Distribution & Audience Engagement",Skills: Professional Development & Networking,Skills: Cultural Stewardship & Community Engagement,Skills: Other,Skills Growth Rating (1-5),Skills Comment,Knowledge: Narrative Development & Screenwriting,Knowledge: Performance & Direction of Talent,Knowledge: Directing & Creative Leadership,Knowledge: Cinematography & Visual Storytelling,Knowledge: Post-Production & Editing,"Knowledge: Marketing, Distribution & Audience Engagement",Knowledge: Professional Development & Networking,Knowledge: Cultural Stewardship & Community Engagement,Knowledge: Other,Knowledge Growth Rating (1-5),Knowledge Comment,Generational Wisdom Rating (1-5),Vision Rating (1-5),Community Rating (1-5),Traditions Rating (1-5),Transformation Rating (1-5),Total VMM Projects Participated,Additional Comments
,Seven Fires Prophecy,Student,Native Youth Media Project,1,1,0,1,0,0,0,1,0,2,,1,1,0,0,1,0,1,0,0,2,,4,2,5,4,5,3,The program helped me process intergenerational trauma through the medium of film.
Xiomara Swifthawk,"Our Language, Our Land",Screenwriter,Creative Shorts Fellowship,1,1,0,1,0,0,1,1,0,4,This program helped me see screenwriting as an act of cultural preservation.,1,0,1,0,0,0,0,1,1,4,I now have a much deeper knowledge of how to work with tribal archives and oral histories.,4,3,4,5,5,3,
Dakota Greywolf,Land Back: A Documentary,Participant,Creative Shorts Fellowship,0,1,0,0,0,0,0,1,0,4,Cinematography workshops were transformative. I finally understand how light tells a story.,0,0,0,0,1,0,1,1,1,3,Cultural context for storytelling gave me a much stronger foundation than technical skills alone.,5,4,5,4,5,1,I hope VMM creates an archive of all films produced through these fellowships.
,Children of the Corn Moon,Cinematographer,Native Youth Media Project,0,0,1,1,0,0,0,0,0,4,,0,1,0,1,1,0,0,1,1,5,,3,2,5,5,4,3,
,Thunderbird Rising,Actor,Creative Shorts Fellowship,0,0,0,0,1,1,1,1,0,2,,0,0,1,0,0,0,1,1,0,3,,4,1,5,4,5,2,
Ursula Twofeathers,The Hoop Don't Lie,Director,Native Youth Media Project,0,0,1,0,1,1,1,1,0,5,,1,0,1,1,0,0,1,1,0,4,I had no idea how many Native-led production companies existed until this program introduced me.,3,1,5,4,5,2,I left the program with three new collaborators and one completed short film. That is success.
Rosa Fourwinds,Eagle Feather Falling,Participant,Creative Shorts Fellowship,1,0,1,0,0,0,1,1,0,5,,0,0,1,1,0,0,0,1,0,5,,3,2,4,4,5,2,The mentors assigned to our cohort were excellent. Please retain them for future programs.
Owen Bearclaw,"Our Language, Our Land",Student,Native Youth Media Project,1,1,1,0,0,0,1,1,0,5,The program's emphasis on community consent in documentary work is something I carry forward.,1,1,0,0,0,1,0,1,0,5,,2,4,5,4,2,3,
Marcus Begay,Sovereignty Stories,Composer,Creative Shorts Fellowship,0,1,1,0,0,0,1,1,0,2,,0,0,0,1,0,0,0,1,0,2,My understanding of community consent protocols grew immensely through this fellowship.,3,3,5,3,5,3,
Xochitl Hawkfeather,Sovereignty Stories,Co-Director,Native Youth Media Project,0,0,1,0,0,0,1,0,0,3,I had never used a camera before this program—now I can shoot and edit a short film independently.,1,0,1,1,1,0,1,0,0,2,,3,1,5,5,4,2,The program addressed healing as part of the creative process—that felt rare and important.
,Songs My Elders Sang,Narrator,Native Youth Media Project,1,0,1,1,0,0,1,0,1,5,I gained real confidence in the editing suite. The instructors were patient and encouraging.,1,1,0,1,0,0,1,1,0,5,The knowledge I gained about the ethics of documentary filmmaking reshaped my practice entirely.,4,3,5,4,4,2,
Blake Pineridge,Land Back: A Documentary,Actor,Creative Shorts Fellowship,1,1,0,0,0,0,1,1,0,4,,1,1,0,0,0,0,1,1,1,4,,1,3,5,3,3,4,I finished the program with a completed short film. That is an extraordinary outcome.
Esme Grasshopper,Standing Bear's Testimony,Composer,Native Youth Media Project,0,0,0,1,1,0,0,1,1,3,,0,0,0,0,1,0,1,1,0,3,,4,4,5,4,5,1,The program connected me with a co-director for my next project. That relationship is invaluable.
Isabel Tallchief,The Wild Rice Harvest,Producer,Native Youth Media Project,0,0,1,0,1,1,1,1,0,5,,1,0,1,0,1,1,1,0,0,5,I learned that distribution is politics. Knowing which platforms honor Indigenous content changed everything.,3,1,5,3,5,1,
,Bear Medicine,Actor,Creative Shorts Fellowship,0,0,0,0,0,0,1,1,0,5,,1,1,0,0,0,0,1,0,0,5,,2,4,5,5,5,2,
Marcus Swiftwind,The Hoop Don't Lie,Student,Native Youth Media Project,0,0,1,1,0,1,0,1,0,5,,1,0,0,0,0,0,0,1,0,5,,4,2,4,3,5,4,
,Totem Trail,Composer,Native Youth Media Project,0,1,1,0,0,0,0,1,0,5,,0,0,0,0,0,0,1,1,0,5,The knowledge I gained about the ethics of documentary filmmaking reshaped my practice entirely.,3,2,4,5,4,2,
,Ribbon Skirts & Microphones,Screenwriter,Native Youth Media Project,1,0,1,0,1,1,1,0,0,5,,1,0,0,0,1,0,0,0,1,5,,2,3,5,5,5,2,
Opal Lonewolf,The Drum Still Speaks,Sound Designer,Creative Shorts Fellowship,1,0,0,0,1,1,1,0,0,4,,0,0,0,1,1,0,0,0,0,5,,3,2,5,2,3,2,
Wahkan Sunwalker,Bear Medicine,Screenwriter,Creative Shorts Fellowship,1,0,1,0,0,0,1,1,0,4,,0,1,0,0,0,0,0,1,0,3,My knowledge of the film industry's systemic barriers for Indigenous creators grew significantly.,4,2,5,2,5,1,"I left feeling seen as a creator, not just as a representative of my culture."
,Through the Medicine Wheel,Co-Director,Creative Shorts Fellowship,0,1,1,0,1,0,0,0,0,3,This program helped me see screenwriting as an act of cultural preservation.,0,0,1,0,0,0,1,1,0,4,"I now understand how post-production choices carry cultural weight—music, pacing, silence.",2,2,5,4,4,2,
,Language Keepers,Producer,Creative Shorts Fellowship,0,0,1,0,0,1,1,1,0,5,,1,0,1,0,0,1,1,0,0,5,,4,3,5,5,5,3,I left the program with three new collaborators and one completed short film. That is success.
,Beading Stories,Co-Director,Native Youth Media Project,0,0,1,1,1,0,1,1,0,4,,1,1,1,1,0,1,0,0,0,4,,1,2,4,2,4,3,This program changed the trajectory of my life. I am now pursuing a career in film full-time.
Felix Jumpingbull,Stolen Generations,Screenwriter,Creative Shorts Fellowship,1,0,0,1,0,1,0,0,0,5,,1,1,1,0,0,0,0,0,0,5,,2,2,5,3,5,7,
Halona Halfmoon,The Long Walk Home,Student,Native Youth Media Project,0,0,1,0,0,0,1,1,1,5,Learning to structure a story arc around oral tradition changed how I approach every script.,0,0,0,0,1,1,0,1,0,5,,2,3,4,3,5,3,
Luca Yellowbird,Standing Bear's Testimony,Student,Creative Shorts Fellowship,1,0,1,0,0,0,0,1,0,5,,0,1,0,0,0,1,1,0,0,4,,3,2,4,4,5,1,
Kaya Manyhorses,Sundance Season,Editor,Native Youth Media Project,0,1,0,0,0,0,0,1,0,5,,0,0,0,1,1,1,0,1,0,5,,3,2,5,5,4,1,
Jordan Eveningstar,Code Talker's Legacy,Participant,Native Youth Media Project,0,1,1,0,0,0,0,1,0,5,,0,0,0,0,0,0,1,1,0,4,,5,2,5,4,4,2,The stipend made it possible for me to participate without sacrificing income. Thank you.
Ingrid Lakota,The Last Powwow,Documentary Filmmaker,Creative Shorts Fellowship,0,1,0,0,1,1,1,1,0,4,I gained real confidence in the editing suite. The instructors were patient and encouraging.,0,0,1,1,1,0,1,1,0,4,,5,4,5,5,5,5,The program connected me with a co-director for my next project. That relationship is invaluable.
,Grandmother's Hands,Actor,Native Youth Media Project,1,1,0,0,0,0,1,0,0,5,,0,1,0,0,0,0,1,1,0,5,,3,3,4,4,4,2,
Zoe Quickbear,Night Sky Navigation,Participant,Creative Shorts Fellowship,0,0,0,1,0,1,1,1,0,5,The program's emphasis on community consent in documentary work is something I carry forward.,1,0,0,1,0,1,0,1,0,5,,3,2,4,5,4,2,Please consider offering childcare during workshops. It would open the program to more parents.
,Salt River Crossing,Narrator,Creative Shorts Fellowship,1,1,1,0,1,0,0,1,0,4,,0,1,0,1,0,1,1,1,0,4,Understanding audience engagement in tribal communities versus urban Native populations was a revelation.,3,3,4,4,5,1,
,Counting Coup: A Love Story,Editor,Native Youth Media Project,0,0,1,0,1,1,0,1,0,4,I came in as a participant and left with a director's toolkit. Incredible growth.,0,0,1,0,1,0,0,0,0,4,,5,1,3,4,5,1,Please consider offering childcare during workshops. It would open the program to more parents.
Amara Firecloud,Beading Stories,Editor,Native Youth Media Project,0,0,0,0,1,0,1,0,0,2,,1,0,0,1,1,0,1,0,0,1,Cultural context for storytelling gave me a much stronger foundation than technical skills alone.,4,2,5,3,5,2,
,Regalia & Resistance,Documentary Filmmaker,Native Youth Media Project,1,0,0,1,1,0,0,1,0,4,,1,0,0,1,0,0,1,1,0,4,,3,2,5,4,4,2,I hope VMM creates an archive of all films produced through these fellowships.
Hector Vanslyke,Seven Fires Prophecy,Student,Creative Shorts Fellowship,1,0,1,0,1,0,1,0,0,4,,1,0,1,0,0,0,0,0,0,5,,3,1,5,4,5,3,
Felix Hawkfeather,Salmon Run Stories,Producer,Creative Shorts Fellowship,1,0,1,0,1,1,1,0,0,3,,0,0,1,0,1,1,1,0,1,2,,3,1,5,4,4,3,"Thank you for creating a space where Native excellence is the baseline, not the exception."
Hugo Ironwood,Blessing Way,Sound Designer,Native Youth Media Project,0,0,0,0,1,1,0,1,0,4,This fellowship gave me the professional vocabulary to pitch my projects to funders.,0,0,0,1,1,1,1,1,0,4,The historical context provided for each skill session made the learning so much richer.,4,2,5,4,5,3,
Maya Jumpingbull,Eagle Feather Falling,Sound Designer,Creative Shorts Fellowship,0,0,0,1,1,0,0,1,1,4,Working with elders on set taught me more about storytelling than any textbook ever could.,0,0,0,1,1,0,0,1,0,4,,3,3,4,2,4,3,
Nita Lakota,Snow Moon Rising,Documentary Filmmaker,Creative Shorts Fellowship,1,1,0,1,1,0,1,0,0,3,,0,0,1,1,1,1,1,0,0,4,,4,2,4,4,5,5,
Esme Nightsky,Buffalo Nation Returns,Co-Director,Creative Shorts Fellowship,1,1,1,1,0,0,0,0,1,5,,0,0,0,1,1,1,0,1,1,4,The program deepened my knowledge of copyright and sovereignty in media production.,1,5,4,5,4,2,
,Language Keepers,Screenwriter,Creative Shorts Fellowship,1,0,0,1,0,1,0,1,0,4,,1,0,0,1,1,1,0,1,0,4,My understanding of community consent protocols grew immensely through this fellowship.,4,2,4,2,4,2,The final screening event was a highlight—showing our work to the community was deeply moving.
Tala Bearclaw,Smoke Signals Rising,Director,Creative Shorts Fellowship,1,0,0,1,1,0,0,1,0,5,,0,0,1,1,0,0,1,0,1,4,,4,3,4,3,4,2,
Elan Begay,Voices from Standing Rock,Student,Creative Shorts Fellowship,1,1,0,0,1,0,1,1,0,4,Cinematography workshops were transformative. I finally understand how light tells a story.,0,1,0,1,0,0,0,1,0,4,,3,4,5,5,5,4,I hope Vision Maker Media expands the fellowship to include more tribal colleges.
Chenoa Zotigh,Winter Count,Student,Creative Shorts Fellowship,0,1,1,0,0,0,0,1,0,3,,0,1,0,1,0,0,1,1,1,4,,3,3,5,3,4,2,
Hugo Strongbow,Sovereignty Stories,Producer,Native Youth Media Project,1,0,0,1,1,0,1,1,0,2,,1,1,0,1,0,0,1,1,0,3,Understanding the history of Indigenous representation in film reframed my whole approach.,5,1,5,5,4,1,I appreciated the balance between technical skill and cultural grounding throughout the program.
Zaltana Grasshopper,Salmon People,Producer,Native Youth Media Project,0,1,0,0,0,1,1,1,0,5,Working with elders on set taught me more about storytelling than any textbook ever could.,1,0,0,0,0,0,1,0,0,5,,4,2,5,4,5,2,
Ohanzee Hawkfeather,Clan Mothers Speak,Participant,Creative Shorts Fellowship,0,0,1,0,0,0,0,1,0,3,,0,0,1,0,0,1,1,1,0,4,Cultural context for storytelling gave me a much stronger foundation than technical skills alone.,3,1,5,4,4,2,Working with professional editors gave me feedback that accelerated my growth by years.
Tanya Underwater,The Wild Rice Harvest,Cinematographer,Native Youth Media Project,0,0,0,1,1,0,0,0,0,4,,0,0,1,1,0,0,0,1,0,3,,2,3,5,3,4,2,
Mika Swiftwind,Canyon de Chelly Morning,Production Assistant,Native Youth Media Project,0,0,1,0,1,0,0,0,0,3,I had never used a camera before this program—now I can shoot and edit a short film independently.,1,0,0,0,1,0,1,0,1,3,"I now understand how post-production choices carry cultural weight—music, pacing, silence.",3,4,5,3,5,2,The program helped me process intergenerational trauma through the medium of film.
Ahanu Bearclaw,The Four Directions Project,Editor,Creative Shorts Fellowship,0,0,1,0,1,0,1,0,0,4,,0,0,0,0,1,1,1,0,0,5,,5,2,4,5,4,6,
Paytah Oldcrow,Eagle Feather Falling,Cinematographer,Native Youth Media Project,0,1,0,0,0,0,1,0,0,2,,1,0,0,1,1,1,0,0,0,3,The knowledge I gained about the ethics of documentary filmmaking reshaped my practice entirely.,3,2,4,5,5,1,
,Ghost Dance Remembered,Director,Creative Shorts Fellowship,0,1,1,1,0,1,0,1,0,4,,0,1,1,1,0,1,0,0,1,5,,5,3,4,4,5,2,
,The Long Walk Home,Narrator,Creative Shorts Fellowship,1,0,1,0,1,1,1,0,0,4,I came in as a participant and left with a director's toolkit. Incredible growth.,1,1,1,0,1,0,0,1,0,4,,5,2,4,5,4,1,The program staff went above and beyond to accommodate our needs. Truly student-centered.
Lena Fallingleaf,The Wild Rice Harvest,Student,Creative Shorts Fellowship,0,0,0,1,0,1,1,0,0,4,,0,0,1,0,0,0,0,1,0,5,I learned that distribution is politics. Knowing which platforms honor Indigenous content changed everything.,4,2,5,2,5,5,
Xochitl Redcloud,Land Back: A Documentary,Actor,Native Youth Media Project,0,0,0,0,1,1,0,0,0,4,,1,1,0,0,1,0,1,1,0,4,,3,4,5,3,5,1,
Hania Hawkfeather,Rise of the Water Protectors,Executive Producer,Creative Shorts Fellowship,1,0,1,0,0,1,1,0,0,4,,0,1,1,0,1,0,1,0,1,4,,2,3,5,4,5,3,
,The Reservation at Night,Production Assistant,Native Youth Media Project,0,0,1,0,1,0,0,0,0,4,,0,0,0,0,1,1,0,0,0,3,,4,2,3,4,5,3,I appreciated the balance between technical skill and cultural grounding throughout the program.
Kenji Dragonfly,Sacred Grounds,Screenwriter,Creative Shorts Fellowship,1,0,1,0,0,0,0,0,0,3,,1,0,1,0,0,0,0,0,0,3,,2,2,3,4,5,3,More field production days would strengthen the cinematography track.
Zoe Killsnight,Standing Bear's Testimony,Composer,Native Youth Media Project,1,0,0,0,1,1,0,1,0,4,,0,0,1,0,1,0,0,0,0,5,,3,2,5,3,5,2,
,First Light,Director,Creative Shorts Fellowship,1,0,1,0,1,1,0,1,0,5,,1,0,1,1,0,0,0,1,0,5,,2,2,5,2,5,3,The program should consider a multi-year track for alumni who want to go deeper.
Cora Brightwater,Clan Mothers Speak,Student,Creative Shorts Fellowship,0,0,1,1,1,0,0,1,0,5,,0,0,0,1,1,1,1,1,0,5,,1,2,5,4,4,1,I would love to see more focus on virtual reality and new media in future iterations.
Naomi Oldcrow,Seasons of the Anishinaabe,Director,Creative Shorts Fellowship,0,1,1,0,0,0,1,1,0,5,I had never used a camera before this program—now I can shoot and edit a short film independently.,0,0,1,0,0,0,0,1,0,5,Understanding funding ecosystems for Native media was knowledge I desperately needed.,4,1,5,5,3,1,
Leotie Killsnight,The Wild Rice Harvest,Composer,Native Youth Media Project,0,0,1,0,0,0,1,0,0,4,,0,0,0,0,0,1,1,1,0,4,"I understand now how film can be used as evidence, as prayer, and as resistance—all at once.",2,3,4,5,4,2,I hope Vision Maker Media continues to prioritize language-based content. It matters enormously.
Winona Hawkfeather,Rez Life Chronicles,Documentary Filmmaker,Native Youth Media Project,0,1,1,1,0,0,1,0,0,5,,1,0,0,1,1,0,1,1,0,5,The program expanded my knowledge of grant writing specifically for Indigenous media projects.,4,2,5,4,5,4,I have already recommended this program to three other community members.
Koda Arrowsmith,Harvest of Memory,Documentary Filmmaker,Creative Shorts Fellowship,0,1,1,0,0,0,1,0,0,4,Learning to structure a story arc around oral tradition changed how I approach every script.,0,1,1,0,0,1,0,1,1,4,,2,2,5,5,4,3,Having Native mentors was non-negotiable for me. VMM understood that without being told.
Paytah Runningwater,Language Keepers,Participant,Native Youth Media Project,0,0,1,1,0,0,1,1,0,4,I grew most in narrative development—learning to trust the structure of Indigenous oral tradition.,0,0,0,0,0,1,1,1,0,4,The historical context provided for each skill session made the learning so much richer.,4,1,4,5,5,4,
,The Beadwork of Being,Cinematographer,Creative Shorts Fellowship,1,0,0,1,1,0,0,1,0,4,I came in as a participant and left with a director's toolkit. Incredible growth.,0,0,0,1,1,0,1,0,0,5,,1,2,5,3,3,1,I finished the program with a completed short film. That is an extraordinary outcome.
,Through the Medicine Wheel,Editor,Creative Shorts Fellowship,0,0,0,0,1,1,0,0,0,5,,0,0,0,0,1,0,0,0,1,5,,2,3,5,4,4,1,The mentors assigned to our cohort were excellent. Please retain them for future programs.
,Memory Map,Executive Producer,Creative Shorts Fellowship,0,0,1,0,0,0,1,0,0,5,,0,0,0,0,1,0,1,0,0,5,,3,2,5,5,4,3,I had access to equipment I never could have afforded on my own. That access changed my work.
,Blessing Way,Narrator,Creative Shorts Fellowship,1,1,0,0,0,0,1,1,0,3,,0,0,1,0,0,0,0,1,0,3,,4,3,5,5,5,3,The program helped me process intergenerational trauma through the medium of film.
,Tipi to Tenement,Co-Director,Creative Shorts Fellowship,1,0,0,0,1,0,1,1,0,5,,0,0,1,0,0,0,1,0,0,5,,3,2,4,5,4,4,I appreciated the balance between technical skill and cultural grounding throughout the program.
Xiomara Thunderbird,Clan Mothers Speak,Student,Creative Shorts Fellowship,0,0,0,1,1,1,0,1,0,5,,1,1,1,0,1,0,0,1,0,5,My understanding of community consent protocols grew immensely through this fellowship.,3,3,5,5,4,2,Please add a module on podcasting and audio storytelling for future cohorts.
Quinn Sunwalker,The Navajo Code,Student,Creative Shorts Fellowship,1,0,0,1,0,1,1,1,0,2,,0,1,0,1,1,1,0,1,0,2,,3,3,5,4,5,3,
,Sundance Season,Co-Director,Native Youth Media Project,0,0,1,0,0,0,1,1,0,5,Learning to direct talent while honoring the dignity of community members was priceless.,1,0,0,1,0,0,1,0,0,5,,2,3,5,4,3,4,I have already recommended this program to three other community members.
Quinn Vanslyke,Land Back: A Documentary,Student,Creative Shorts Fellowship,1,0,0,1,0,0,1,1,1,5,,1,0,1,1,1,0,0,1,0,5,Understanding funding ecosystems for Native media was knowledge I desperately needed.,3,1,5,5,4,3,The program helped me process intergenerational trauma through the medium of film.
Xiomara Snowcloud,Rez Basketball Dreams,Documentary Filmmaker,Creative Shorts Fellowship,0,0,1,1,1,0,1,1,0,5,,0,0,1,1,0,1,1,1,0,5,,3,2,5,5,5,2,The mentors assigned to our cohort were excellent. Please retain them for future programs.
,Songs My Elders Sang,Actor,Native Youth Media Project,1,1,0,0,0,0,0,1,0,4,,1,0,1,0,0,0,1,1,0,5,,3,2,4,5,4,5,
,Red Road Forward,Participant,Creative Shorts Fellowship,1,1,1,1,0,1,0,0,0,3,I grew most in narrative development—learning to trust the structure of Indigenous oral tradition.,1,1,0,0,0,0,1,1,0,2,,4,2,4,5,5,1,
Jordan Morningstar,Code Talker's Legacy,Actor,Native Youth Media Project,0,1,0,0,0,0,0,1,0,5,,1,0,1,1,1,1,0,0,0,5,Learning about the history of boarding schools through a filmmaking lens was painful and necessary.,5,2,4,3,5,1,
Tala Moonfeather,Beading Stories,Producer,Native Youth Media Project,0,1,0,0,1,1,1,0,0,5,,0,1,0,0,1,1,0,1,0,5,,4,1,4,5,5,8,
Owen Runningwater,Beading Stories,Participant,Native Youth Media Project,0,1,0,0,1,0,0,0,0,2,,0,0,1,0,0,0,0,1,0,2,Understanding the history of Indigenous representation in film reframed my whole approach.,4,3,5,4,5,3,
,Rez Basketball Dreams,Director,Creative Shorts Fellowship,0,1,1,1,1,0,1,0,0,5,Marketing for Indigenous audiences requires a completely different approach. This program taught me that.,0,1,1,1,0,0,1,1,0,5,I had no idea how many Native-led production companies existed until this program introduced me.,2,1,5,4,3,1,More time on post-production workflows would be welcome in future cohorts.
,Ghost Dance Remembered,Cinematographer,Native Youth Media Project,1,1,0,1,0,0,1,0,0,4,The networking sessions connected me with Native filmmakers I now consider mentors.,0,0,0,1,1,1,0,1,0,3,,5,3,5,5,5,5,
Zaltana Manyhorses,Winter Count,Executive Producer,Creative Shorts Fellowship,0,0,1,0,1,1,1,1,0,4,,0,1,1,0,1,1,1,0,0,4,,4,3,5,4,4,3,
Felix Begay,Braiding Sweetgrass on Film,Narrator,Native Youth Media Project,1,1,0,1,0,0,0,1,0,4,,0,1,0,1,0,0,0,1,0,4,,2,4,5,4,5,3,
Senna Manyhorses,Canyon de Chelly Morning,Composer,Creative Shorts Fellowship,1,0,0,0,0,0,0,0,1,4,,1,0,1,1,0,0,1,0,1,3,,2,3,5,4,5,2,
,Lakota Sky,Producer,Creative Shorts Fellowship,1,0,0,1,0,1,1,0,0,5,,1,1,0,1,1,0,0,1,0,5,I now have a much deeper knowledge of how to work with tribal archives and oral histories.,2,2,5,4,4,3,The instructors brought both technical excellence and cultural humility—a rare combination.
,Standing Bear's Testimony,Participant,Native Youth Media Project,1,1,1,1,1,0,0,0,0,4,,0,0,0,0,1,0,1,1,0,4,Understanding the history of Indigenous representation in film reframed my whole approach.,2,2,5,4,4,1,
Victor Jumpingbull,Medicine Bag,Co-Director,Creative Shorts Fellowship,1,1,0,0,0,1,1,1,0,4,,0,1,1,0,0,1,1,1,0,5,,3,3,3,4,4,3,
